,Year,Travel Mode,Service Driver,Service Attribute,Metrics,Customer Satisfaction Index
0,2016,Ferry,Overall,How satisfied are you with this service,% satisfied,0.9740310489673142
1,2016,Ferry,Timeliness,This ferry turning up on time,% satisfied,0.9651673518668286
2,2016,Ferry,Timeliness,Frequency of this ferry service,% satisfied,0.8680503231297001
3,2016,Ferry,Timeliness,Journey time given the distance travelled,% satisfied,0.9567680290181
4,2016,Ferry,Timeliness,Time to connect to other transport services,% satisfied,0.9297031646817427
5,2016,Ferry,Safety & Security,Feeling safe at the ferry wharf,% satisfied,0.9820224507366857
6,2016,Ferry,Safety & Security,Feeling safe while on this ferry,% satisfied,0.9866343325495144
7,2016,Ferry,Safety & Security,This ferry being driven safely,% satisfied,0.9883860101912857
8,2016,Ferry,Ticketing,Ease of purchasing my ticket,% satisfied,0.9097833655410714
9,2016,Ferry,Ticketing,Ease of using my Opal card,% satisfied,0.9102680727135858
10,2016,Ferry,Convenience,Ease of getting to the ferry wharf,% satisfied,0.9619342725058428
11,2016,Ferry,Convenience,Ease of connection with other modes of transport,% satisfied,0.9509036798378142
12,2016,Ferry,Accessibility,Ease of accessing the ferry wharf,% satisfied,0.9731687566689999
13,2016,Ferry,Accessibility,Ease of getting on and off the ferry,% satisfied,0.9777722736833857
14,2016,Ferry,Accessibility,Usefulness of signs to help you find your way,% satisfied,0.9443684363530144
15,2016,Ferry,Comfort,Comfort at the ferry wharf (shelter & seating),% satisfied,0.9248331343693285
16,2016,Ferry,Comfort,Seat availability on this ferry,% satisfied,0.9803339357113573
17,2016,Ferry,Comfort,Seat comfort on this ferry,% satisfied,0.9581673314430429
18,2016,Ferry,Comfort,Temperature on this ferry,% satisfied,0.9625093429041571
19,2016,Ferry,Comfort,Personal space on this ferry,% satisfied,0.9734800458755143
20,2016,Ferry,Comfort,Smoothness of this ferry trip,% satisfied,0.9799601774075428
21,2016,Ferry,Cleanliness,Cleanliness of the ferry wharf,% satisfied,0.9643189004191285
22,2016,Ferry,Cleanliness,Cleanliness of this ferry,% satisfied,0.9709472039432143
23,2016,Ferry,Information,Availability of arrival information for this ferry,% satisfied,0.9452548593189715
24,2016,Ferry,Information,Availability of next stop information on this ferry,% satisfied,0.9406845861300572
25,2016,Ferry,Information,Availability of information about service delays,% satisfied,0.8990139773062856
26,2016,Ferry,Information,"Ease of finding info (routes, stops, timetables)",% satisfied,0.9175285270015142
27,2016,Ferry,Customer Service,Willingness of ferry staff to help,% satisfied,0.9417646796870001
28,2016,Ferry,Customer Service,Knowledge of ferry staff,% satisfied,0.9350475869280286
29,2016,Ferry,Customer Service,Presentation of ferry staff,% satisfied,0.9538145803358429
60,2016,Train,Overall,How satisfied are you with this service,% satisfied,0.8640061309964182
61,2016,Train,Timeliness,This train turning up on time,% satisfied,0.8953247719866727
62,2016,Train,Timeliness,Frequency of this train service,% satisfied,0.7024748185342818
63,2016,Train,Timeliness,Journey time given the distance travelled,% satisfied,0.7984484483202
