,Travel Time,Mode,Trips,Year,Month
0,00:00:00,Train,51400.0,2023,November
1,01:00:00,Train,2800.0,2023,November
2,02:00:00,Train,2600.0,2023,November
3,03:00:00,Train,26600.0,2023,November
4,04:00:00,Train,301000.0,2023,November
5,05:00:00,Train,1049200.0,2023,November
6,06:00:00,Train,1890600.0,2023,November
7,07:00:00,Train,4119000.0,2023,November
8,08:00:00,Train,4155000.0,2023,November
9,09:00:00,Train,1999600.0,2023,November
10,10:00:00,Train,1524000.0,2023,November
11,11:00:00,Train,1463000.0,2023,November
12,12:00:00,Train,1588200.0,2023,November
13,13:00:00,Train,1704000.0,2023,November
14,14:00:00,Train,2139400.0,2023,November
15,15:00:00,Train,3224200.0,2023,November
16,16:00:00,Train,3681800.0,2023,November
17,17:00:00,Train,4450400.0,2023,November
18,18:00:00,Train,2426800.0,2023,November
19,19:00:00,Train,1371000.0,2023,November
20,20:00:00,Train,1093600.0,2023,November
21,21:00:00,Train,956600.0,2023,November
22,22:00:00,Train,586000.0,2023,November
23,23:00:00,Train,264200.0,2023,November
29,00:00:00,Bus,53000.0,2023,November
30,01:00:00,Bus,27600.0,2023,November
31,02:00:00,Bus,22600.0,2023,November
32,03:00:00,Bus,23600.0,2023,November
33,04:00:00,Bus,73600.0,2023,November
34,05:00:00,Bus,470400.0,2023,November
35,06:00:00,Bus,1253600.0,2023,November
36,07:00:00,Bus,2702200.0,2023,November
37,08:00:00,Bus,2951200.0,2023,November
38,09:00:00,Bus,1641000.0,2023,November
39,10:00:00,Bus,1373400.0,2023,November
40,11:00:00,Bus,1346200.0,2023,November
41,12:00:00,Bus,1399800.0,2023,November
42,13:00:00,Bus,1498000.0,2023,November
43,14:00:00,Bus,1839400.0,2023,November
44,15:00:00,Bus,2554800.0,2023,November
45,16:00:00,Bus,2433200.0,2023,November
46,17:00:00,Bus,2692800.0,2023,November
47,18:00:00,Bus,1778600.0,2023,November
48,19:00:00,Bus,949400.0,2023,November
49,20:00:00,Bus,641200.0,2023,November
50,21:00:00,Bus,538600.0,2023,November
51,22:00:00,Bus,341200.0,2023,November
52,23:00:00,Bus,160000.0,2023,November
58,00:00:00,Ferry,0.0,2023,November
59,01:00:00,Ferry,0.0,2023,November
