,Year_Month ,Card Type ,Travel Mode ,Distance Band,Fare_nominal (Peak time),CPI,Fare_real (Peaktime) ,weekday-cap,weekly-cap
0,2021,Adult ,Train,0-10km,3.66,118.5,3.66,16.3,50
1,2021,Adult ,Train,10-20km,4.55,118.5,4.55,16.3,50
2,2021,Adult ,Train,20-35km,5.23,118.5,5.23,16.3,50
3,2021,Adult ,Train,35-65km,6.99,118.5,6.99,16.3,50
4,2021,Adult ,Train,65km+,8.99,118.5,8.99,16.3,50
5,2021,Adult ,Bus,0-3km,3.2,118.5,3.2,16.3,50
6,2021,Adult ,Bus,3-8km,3.79,118.5,3.79,16.3,50
7,2021,Adult ,Bus,8km+,4.87,118.5,4.87,16.3,50
8,2021,Adult ,Light Rail,0-3km,3.2,118.5,3.2,16.3,50
9,2021,Adult ,Light Rail,3-8km,3.79,118.5,3.79,16.3,50
10,2021,Adult ,Light Rail,8km+,4.87,118.5,4.87,16.3,50
11,2021,Adult ,Ferry,0-9km,6.21,118.5,6.21,16.3,50
12,2021,Adult ,Ferry,9km+,7.76,118.5,7.76,16.3,50
13,2022,Adult ,Train,0-10km,3.79,123.7,3.6306790622473724,16.8,50
14,2022,Adult ,Train,10-20km,4.71,123.7,4.512004850444624,16.8,50
15,2022,Adult ,Train,20-35km,5.42,123.7,5.19215844785772,16.8,50
16,2022,Adult ,Train,35-65km,7.24,123.7,6.935650767987065,16.8,50
17,2022,Adult ,Train,65km+,9.31,123.7,8.918633791430882,16.8,50
18,2022,Adult ,Bus,0-3km,3.2,123.7,3.0654810024252224,16.8,50
19,2022,Adult ,Bus,3-8km,3.93,123.7,3.764793856103476,16.8,50
20,2022,Adult ,Bus,8km+,5.05,123.7,4.837712206952303,16.8,50
21,2022,Adult ,Light Rail,0-3km,3.2,123.7,3.0654810024252224,16.8,50
22,2022,Adult ,Light Rail,3-8km,3.93,123.7,3.764793856103476,16.8,50
23,2022,Adult ,Light Rail,8km+,5.05,123.7,4.837712206952303,16.8,50
24,2022,Adult ,Light Rail,0-3km,2.24,123.7,2.1458367016976556,16.8,50
25,2022,Adult ,Light Rail,3-8km,2.75,123.7,2.6343977364591753,16.8,50
26,2022,Adult ,Light Rail,0-3km,2.72,123.7,2.6056588520614388,16.8,50
27,2022,Adult ,Light Rail,3-8km,3.34,123.7,3.1995957962813253,16.8,50
28,2022,Adult ,Light Rail,8km+,4.29,123.7,4.109660468876314,16.8,50
29,2023,Adult ,Train,0-10km,4.0,132.7,3.5719668425018845,17.8,50
30,2023,Adult ,Train,10-20km,4.97,132.7,4.438168801808591,17.8,50
31,2023,Adult ,Train,20-35km,5.72,132.7,5.1079125847776945,17.8,50
32,2023,Adult ,Train,35-65km,7.65,132.7,6.831386586284855,17.8,50
33,2023,Adult ,Train,65km+,9.84,132.7,8.787038432554636,17.8,50
34,2023,Adult ,Bus,0-3km,3.2,132.7,2.8575734740015077,17.8,50
35,2023,Adult ,Bus,3-8km,4.15,132.7,3.7059155990957056,17.8,50
36,2023,Adult ,Bus,8km+,5.33,132.7,4.7596458176337615,17.8,50
37,2023,Adult ,Light Rail,0-3km,3.2,132.7,2.8575734740015077,17.8,50
38,2023,Adult ,Light Rail,3-8km,4.15,132.7,3.7059155990957056,17.8,50
39,2023,Adult ,Light Rail,8km+,5.33,132.7,4.7596458176337615,17.8,50
40,2023,Adult ,Ferry,0-9km,6.79,132.7,6.0634137151469485,17.8,50
41,2023,Adult ,Ferry,9km+,8.49,132.7,7.58149962321025,17.8,50
42,2024,Adult ,Train,0-10km,4.2,137.7,3.6143790849673207,18.7,50
43,2024,Adult ,Train,10-20km,5.22,137.7,4.492156862745098,18.7,50
44,2024,Adult ,Train,20-35km,6.01,137.7,5.1720043572984755,18.7,50
45,2024,Adult ,Train,35-65km,8.03,137.7,6.910348583877996,18.7,50
46,2024,Adult ,Train,65km+,10.33,137.7,8.889651416122005,18.7,50
