,Year,Month,Travel_Mode,Card_type,Trip
0,2016.0,July,Bus,Adult,13146432.0
1,2016.0,July,Bus,Child/Youth,1079640.0
2,2016.0,July,Bus,Concession,1845322.0
3,2016.0,July,Bus,Employee,64989.0
4,2016.0,July,Bus,Free Travel,25228.0
5,2016.0,July,Bus,School Student,1297240.0
6,2016.0,July,Bus,Senior/Pensioner,3739658.0
7,2016.0,July,Ferry,Adult,861272.0
8,2016.0,July,Ferry,Child/Youth,108450.0
9,2016.0,July,Ferry,Concession,71362.0
10,2016.0,July,Ferry,Employee,5251.0
11,2016.0,July,Ferry,Free Travel,1317.0
12,2016.0,July,Ferry,School Student,1295.0
13,2016.0,July,Ferry,Senior/Pensioner,152188.0
14,2016.0,July,Ferry,Sgl Trip Ferry Adult,10030.0
15,2016.0,July,Ferry,Sgl Trip Ferry Child/Youth,2547.0
16,2016.0,July,Light Rail,Adult,595732.0
17,2016.0,July,Light Rail,Child/Youth,48667.0
18,2016.0,July,Light Rail,Concession,27107.0
19,2016.0,July,Light Rail,Employee,2.0
20,2016.0,July,Light Rail,Free Travel,693.0
21,2016.0,July,Light Rail,LR-MST,24913.0
22,2016.0,July,Light Rail,School Student,994.0
23,2016.0,July,Light Rail,Senior/Pensioner,128228.0
24,2016.0,July,Light Rail,Sgl Trip LR Adult,1094.0
25,2016.0,July,Light Rail,Sgl Trip LR Child/Youth,302.0
26,2016.0,July,Train,Adult,22145198.0
27,2016.0,July,Train,Child/Youth,1107160.0
28,2016.0,July,Train,Concession,2105013.0
29,2016.0,July,Train,Employee,264074.0
30,2016.0,July,Train,Free Travel,24395.0
31,2016.0,July,Train,School Student,511309.0
32,2016.0,July,Train,Senior/Pensioner,2567262.0
33,2016.0,July,Train,Sgl Trip Rail Adult,75274.0
34,2016.0,July,Train,Sgl Trip Rail Child/Youth,19564.0
35,2016.0,August,Bus,Adult,14080864.0
36,2016.0,August,Bus,Adult Single Bus Trip 1,213548.0
37,2016.0,August,Bus,Adult Single Bus Trip 2,149890.0
38,2016.0,August,Bus,Adult Single Bus Trip 3,60625.0
39,2016.0,August,Bus,Child/Youth,1034488.0
40,2016.0,August,Bus,Child/Youth Single Bus Trip 1,85540.0
41,2016.0,August,Bus,Child/Youth Single Bus Trip 2,52781.0
42,2016.0,August,Bus,Child/Youth Single Bus Trip 3,15864.0
43,2016.0,August,Bus,Concession,2168046.0
44,2016.0,August,Bus,Employee,73112.0
45,2016.0,August,Bus,Free Travel,32202.0
46,2016.0,August,Bus,School Student,3135595.0
47,2016.0,August,Bus,Senior/Pensioner,4108217.0
48,2016.0,August,Ferry,Adult,773097.0
49,2016.0,August,Ferry,Child/Youth,81256.0
50,2016.0,August,Ferry,Concession,25177.0
51,2016.0,August,Ferry,Employee,4780.0
52,2016.0,August,Ferry,Free Travel,1728.0
53,2016.0,August,Ferry,School Student,2701.0
54,2016.0,August,Ferry,Senior/Pensioner,158521.0
55,2016.0,August,Ferry,Sgl Trip Ferry Adult,39692.0
56,2016.0,August,Ferry,Sgl Trip Ferry Child/Youth,8103.0
57,2016.0,August,Light Rail,Adult,626133.0
58,2016.0,August,Light Rail,Child/Youth,40298.0
59,2016.0,August,Light Rail,Concession,31569.0
60,2016.0,August,Light Rail,Free Travel,888.0
61,2016.0,August,Light Rail,School Student,4940.0
62,2016.0,August,Light Rail,Senior/Pensioner,134404.0
63,2016.0,August,Light Rail,Sgl Trip LR Adult,2068.0
64,2016.0,August,Light Rail,Sgl Trip LR Child/Youth,500.0
