,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
0,2023,500,Bayside,other**,27000,3.6,4.0,383000,7.2,14.3,24.8
1,2023,500,Bayside,public transport,58000,7.6,8.5,469000,8.9,8.1,21.8
2,2023,500,Bayside,vehicle driver,312000,41.3,46.2,2833000,53.6,9.1,19.8
3,2023,500,Bayside,vehicle passenger,158000,21.0,23.5,1470000,27.8,9.3,19.1
4,2023,500,Bayside,walk linked,80000,10.6,,58000,1.1,0.7,10.4
5,2023,500,Bayside,walk only,121000,16.0,17.9,77000,1.5,0.6,11.0
6,2023,750,Blacktown,other**,18000,1.3,1.4,30000,0.3,1.7,7.3
7,2023,750,Blacktown,public transport,83000,6.0,6.5,1372000,12.0,16.5,28.2
8,2023,750,Blacktown,vehicle driver,653000,46.9,51.3,6770000,59.4,10.4,19.3
9,2023,750,Blacktown,vehicle passenger,345000,24.8,27.1,3018000,26.5,8.7,16.3
10,2023,750,Blacktown,walk linked,120000,8.6,,74000,0.6,0.6,7.6
11,2023,750,Blacktown,walk only,174000,12.5,13.7,132000,1.2,0.8,11.9
12,2023,900,Blue Mountains,other**,2000,0.5,0.5,6000,0.2,4.1,54.8
13,2023,900,Blue Mountains,public transport*,16000,4.9,5.3,432000,10.7,27.3,37.5
14,2023,900,Blue Mountains,vehicle driver,159000,49.5,53.0,2405000,59.6,15.1,20.9
15,2023,900,Blue Mountains,vehicle passenger,77000,24.0,25.7,1140000,28.2,14.8,20.5
16,2023,900,Blue Mountains,walk linked,21000,6.6,,14000,0.4,0.7,11.5
17,2023,900,Blue Mountains,walk only,46000,14.5,15.5,39000,1.0,0.8,13.3
18,2023,1300,Burwood,public transport*,20000,9.3,10.7,195000,13.5,10.0,20.3
19,2023,1300,Burwood,vehicle driver*,104000,49.5,56.8,845000,58.6,8.2,20.0
20,2023,1300,Burwood,vehicle passenger*,26000,12.4,14.2,366000,25.4,14.1,24.7
